sample_id,A,B,C,D,EF,G,BrAk,solv1,c1%,solv2,c2%,solv3,c3%,rxn_time
2327,3,1.9,6.34,10.57,76.7,12.6,0,DMF,100%,,,,,72
2328,3,1.79,6.12,12.06,77.92,12.07,0,DMSO,100%,,,,,72
2307,3,3.62,6.62,6.77,74.97,11.92,1.34,DMF,100%,,,,,48
2308,3,3.27,6.24,10.87,84.28,15.19,1.56,DMSO,77.34%,IPA,22.66%,,,48
2309,3,3.92,6.64,7.98,69.2,15.88,1.64,DMSO,79.18%,Ethanol,20.82%,,,48
2310,3,2.19,7.91,7.66,77.07,11.41,0.03,IPA,29.72%,Acetonitrile,31.47%,1-Methylimidazole,38.82%,48
2311,3,2.49,6.55,7.95,86.86,14.19,1.03,EA,10.24%,DMSO,72.46%,Ethanol,17.30%,48
2319,3,2.4,5.87,9.49,65.49,13.4,0,tBuOH,19.42%,DMSO,76.34%,Ethanol,4.24%,48
2320,3,2.15,6.44,7.4,62.37,10.4,0,Triethylamine,5.53%,DMSO,94.47%,,,48
2321,3,2.04,5.92,6.46,48.31,7.18,0,DMSO,74.50%,Triethylamine,5.26%,Ethanol,20.23%,48
